subject,trial,stim,picture,response,reactiontime,correct,spaced,stimvalue,feedback,reward,repetition,trialonset
309,31,5,102,1,0.634943255,1,1,2,2,0.44,8,66.53412723
309,32,4,122,1,0.954037318,0,1,0,-1,0,8,74.35983053
309,33,2,105,2,0.899426757,1,1,0,0,-0.04,8,81.95197116
309,34,1,104,2,1.420499291,0,1,1,1,-0.06,9,88.12543759
309,35,2,105,2,0.820726333,1,1,0,0,-0.04,9,92.96453242
309,36,4,122,1,0.738938611,0,1,0,0,-0.29,9,99.8885914
309,37,5,102,1,0.739348247,1,1,2,0,-0.02,9,107.2641901
309,38,5,102,1,0.557232198,1,1,2,2,0.45,10,112.2526918
309,39,4,122,1,1.201210394,0,1,0,0,-0.28,10,119.4776696
309,40,2,105,2,1.084531916,1,1,0,0,0.02,10,125.6507637
309,41,1,104,2,1.19461094,0,1,1,1,0,10,2.038193332
309,42,3,112,1,0.847621077,1,1,1,1,0.29,2,8.063834471
309,43,3,112,1,0.504970394,1,1,1,1,0.25,3,15.88887155
309,44,3,112,1,0.458143158,1,1,1,1,0.21,4,22.06293473
309,45,7,101,1,0.835677927,1,1,2,2,0.48,1,27.20115281
309,46,7,101,1,0.554515063,1,1,2,2,0.49,2,33.52451889
309,47,7,101,1,0.511934161,1,1,2,2,0.43,3,39.69858036
309,48,6,131,1,0.923452306,0,1,0,0,-0.22,1,45.72186234
309,49,6,131,2,0.672839835,1,1,0,0,0.05,2,51.01196832
309,50,6,131,2,0.562647876,1,1,0,0,0.01,3,57.18529161
309,51,8,121,1,0.888887748,0,1,0,0,-0.25,1,64.86125224
309,52,8,121,2,0.848838979,1,1,0,0,0.01,2,71.78496849
309,53,8,121,2,0.72236894,1,1,0,0,0,3,77.67538334
309,54,6,131,2,1.583007895,1,1,0,0,-0.04,4,82.96473437
